Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,group,complex,dispStage,selfOut,dispersion,trophicLevel,maxSize
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.2297,44.9606,3,6819,204,-145,349,724,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.085,45.7783,42,6854,239,-95,334,778,45,82,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
