Species,n.gps,abs_max_lat,abs_min_lat,length_lat,median_lon,median_lat,area,bio1m,bio1sd,bio2m,bio2sd,bio3m,bio3sd,bio4m,bio4sd,bio5m,bio5sd,bio6m,bio6sd,bio7m,bio7sd,bio8m,bio8sd,bio9m,bio9sd,bio10m,bio10sd,bio11m,bio11sd,bio12m,bio12sd,bio13m,bio13sd,bio14m,bio14sd,bio15m,bio15sd,bio16m,bio16sd,bio17m,bio17sd,bio18m,bio18sd,bio19m,bio19sd,elevm,elevsd,continents,dist,Red.List.status
Cypripedium californicum,144,42.7432,37.92713645,4.816063547,-123.724011,41.7833475,88555221752,94.17361111,30.84618503,134.8888889,17.8345587,49.40277778,3.154128041,4887.916667,919.4018312,256,37.94512047,-16.08333333,36.60381347,272.0833333,44.06979525,41.85416667,31.94903475,158.0486111,28.84376285,159.6111111,28.55888558,37.32638889,34.49755841,1460.895833,428.2240888,258.7291667,74.1356929,7.972222222,3.824734452,75.20833333,6.222983567,734.2569444,218.0563136,51.34027778,18.99140888,62.11805556,21.56353323,688.7083333,199.1169974,100.2916667,88.6049514,North America,endemic,EN
Cypripedium candidum,57,52.305396,32.27361,20.031786,-88.989455,42.6,2.69E+12,79.43859649,35.27292443,118.5964912,11.56481679,27.94736842,3.809860574,10589.38596,1557.639901,286.6491228,19.14184947,-135.3157895,61.89742606,421.9649123,50.06601532,186.1052632,42.82926412,-57.43859649,69.22969469,209.2807018,20.15631272,-64.45614035,56.87865221,814.0526316,228.5980113,99.49122807,15.84649895,33.42105263,19.24647219,35.57894737,16.13442124,282.1578947,44.49911294,121.9473684,67.40454125,270.754386,36.64369011,125.877193,76.78287341,140.3508772,38.71161289,North America,endemic,VU
Cypripedium fasciculatum,76,47.511906,37.2347,10.277206,-121.0720835,40.33533,1.01E+12,62.23684211,46.3177053,145.0131579,16.26898351,43.93421053,4.978180461,6527.315789,1271.942244,252.4868421,43.46538651,-77.43421053,65.47494901,329.9210526,46.67183681,23.42105263,43.21828723,95.17105263,102.2623278,148.5263158,36.63676612,-15.46052632,59.04652195,898.1315789,369.4463368,144.9078947,82.9338978,17.88157895,15.45485219,51.48684211,30.32644321,402.7236842,229.7899098,71.72368421,45.41030681,86.09210526,56.73310089,376.9605263,233.2628526,124.2763158,57.69658538,North America,endemic,VU
Cypripedium guttatum,72,68.23,53.66,14.57,-146.2752995,64.4398905,2.32E+12,-47.68055556,29.98395176,106.2777778,13.84849839,21.84722222,2.84164068,13671.73611,2509.960675,200.5277778,21.8457926,-282.5555556,65.81555296,483.0833333,78.53190793,118.1944444,26.89344592,-131.4305556,70.609385,125.25,17.92059952,-220.7777778,59.16251721,357.7916667,154.3059826,61.08333333,21.14853573,12.69444444,8.7575141,54.38888889,11.12990586,162.0416667,55.12710984,44.01388889,27.42954768,155.3194444,41.40824793,58.02777778,43.95419262,134.0833333,86.06560714,"Europe,Asia,North America",global,LC
Cypripedium montanum,206,61.392016,37.166,24.226016,-121.4274,44.5203,3.14E+12,74.0631068,39.88839183,133.5048544,24.52947407,41.15533981,7.638486993,6596.194175,1462.767118,260.8592233,42.41151003,-63.61650485,58.7653749,324.4757282,47.42395086,23.11165049,55.12364957,132.8932039,76.27644365,160.0242718,30.80710075,-7.077669903,55.99846502,882.684466,410.9009167,143.9708738,78.05213471,16.80097087,15.15462415,55.04368932,21.89939378,401.3737864,218.8021293,69.36893204,47.57535543,87.33980583,60.62536753,371.461165,212.3520683,137.4417476,75.36644789,North America,endemic,VU
Cypripedium parviflorum,580,67.616667,31.9,35.716667,-92.23013,45.1141695,1.24E+13,56.80344828,53.41077484,116.8068966,14.26303436,27.96034483,5.107495243,10476.15172,2082.343285,263.9241379,36.54983732,-154.1586207,79.32297076,418.0827586,58.79973957,142.4017241,68.18208627,-51.51034483,89.93400899,185.9103448,37.40940324,-83.79482759,76.40972847,803.6775862,291.0127475,96.50172414,24.6632238,40.19827586,24.33261876,31.60517241,17.48932981,268.3655172,69.16779565,136.5672414,77.50298203,250.9844828,60.98450864,150.8586207,90.06298321,134.2017241,58.58715661,"North America,NA",global,LC
Cypripedium passerinum,209,69.02,45.8921,23.1279,-126.1,61.25,5.60E+12,-35.56937799,37.25685559,110.0287081,15.01566934,23.63157895,4.576608365,12469.02392,2426.50734,197.569378,25.12098074,-265.8181818,59.59942771,463.3875598,62.81687394,108.8229665,37.88002631,-118.3110048,74.50396171,119.9665072,21.57241445,-196.8133971,61.01472562,432.6937799,172.3798132,68.44976077,21.71800504,16.84210526,9.670978958,48.69856459,13.24836883,181.0047847,57.88744862,58.5645933,31.61892827,173.8660287,50.92227528,74.27751196,47.41915713,135.6124402,56.58577592,"North America,NA",global,VU
Cypripedium reginae,221,61.392016,36.82111,24.570906,-79.166667,45.435188,5.57E+12,54.8280543,31.50465089,111.9683258,14.42547908,26.71945701,3.52046377,10428.22172,1399.462459,259.1402715,24.28978944,-155.8099548,53.71194289,414.9502262,46.39369336,145.8054299,65.1728692,-57.88235294,60.22295474,182.9366516,22.44479218,-86.17647059,48.10424843,904.2941176,209.0522106,99.61538462,14.5008319,51.13574661,21.16106283,23.13574661,15.5872803,281.4208145,42.34060292,170.1040724,65.2113559,267.5294118,37.91863651,185.1945701,74.72819334,139.5384615,71.34490245,"North America,NA",global,LC
Dalea bicolor,648,45.695576,16.236111,29.459465,-100.3467835,21.8325,2.74E+12,172.1916538,26.97471109,157.1174652,14.9651335,63.3755796,6.39510917,2900.656878,1221.249051,293.7248841,33.98094142,45.82689335,27.73538753,247.8979907,29.83009855,189.5888717,39.97279725,152.1020093,34.20814243,206.6228748,36.0220087,132.942813,26.10543293,532.5471406,286.6732488,113.4822257,62.20444104,6.564142195,6.492563989,82.4992272,15.13886954,283.8268934,155.4094592,26.39258114,21.5273706,194.3122102,87.59033315,42.76043277,31.16325402,129.7469136,49.72611997,"South America and the Caribbean,North America",global,LC
Dalea compacta,39,38.833333,29.105,9.728333,-97.280537,32.625045,3.73E+11,184.4615385,15.94867781,128.025641,9.78314119,37,2.56494588,7471.589744,655.1808396,350.3589744,5.860156184,8.717948718,25.47232628,341.6410256,23.81119504,222.3333333,24.69000792,96.33333333,37.45336281,277.2051282,10.64296033,84.46153846,21.98186592,887.4871795,148.47521,120.5897436,15.26902256,46.53846154,11.09017145,30.87179487,7.595634089,295.8461538,34.05455257,160.2051282,41.6509174,205.2307692,24.88231409,164.3589744,49.95181214,158.1025641,42.81465248,North America,endemic,LC
