Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-124.1168,41.1602,113,2695,203,35,168,1451,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1396564,40.54787232,119,2577,202,44,158,1312,80,29,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1414,40.5411,118,2677,204,42,162,1397,81,29,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0744,40.8753,117,2771,204,40,164,1209,75,37,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.09806,47.84806,102,4759,232,8,224,1128,44,133,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1688,42.0283,114,2957,210,35,175,2002,72,74,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.3527,40.3009,111,2336,190,42,148,1857,82,33,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9096842,38.16954859,130,3155,243,35,208,1002,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9013,38.1586,130,2984,240,38,202,949,89,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1615,41.1378,111,2576,199,35,164,1460,73,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1065,41.183,112,2742,204,33,171,1508,74,50,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.3683,40.4659,107,2307,185,38,147,1722,80,36,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0516,41.5451,114,2828,206,31,175,1949,74,66,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1147,40.9969,115,2588,200,41,159,1259,74,40,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0925,41.6148,112,2849,205,30,175,1965,74,67,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.6105,37.9002,131,3203,231,45,186,1010,88,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.20056,41.75611,117,2506,199,42,157,1836,70,72,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1095,41.1865,112,2742,204,33,171,1508,74,50,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.9335,37.5906,147,4469,289,35,254,513,86,6,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2828,42.0528,114,2696,201,41,160,1982,70,78,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.094,41.2776,114,2695,206,34,172,1572,73,54,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.3785,40.4702,111,2082,182,46,136,1652,80,35,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0585,41.287,108,3081,211,23,188,1632,74,54,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1121,41.0306,114,2674,202,38,164,1317,74,42,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.3286674,37.11355692,131,2370,222,46,176,722,87,10,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.5069,36.2522,112,4026,262,6,256,758,86,9,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8157,39.3767,111,2521,206,33,173,1050,79,22,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.91666,40.66667,98,4326,247,65534,249,1657,77,43,Plant,embryo,outcrosser,wind,primary,25000
